# sec(z), Tsys/Tatm, Tr, fit
1.23295 0.12939 28.41840 0.13524
1.23450 0.13632 30.48889 0.13528
1.23607 0.12841 28.10730 0.13531
1.23764 0.14071 31.78803 0.13534
1.23922 0.14387 32.72645 0.13537
1.24081 0.16741 39.77730 0.13541
1.24240 0.11075 22.77017 0.13544
1.24400 0.07153 10.99358 0.13547
1.24561 0.14909 34.25462 0.13551
1.24723 0.14331 32.50880 0.13554
1.24886 0.16188 38.07109 0.13557
1.25049 0.12939 28.31425 0.13561
1.25214 0.11279 23.32479 0.13564
1.25379 0.11539 24.09415 0.13567
1.25545 0.14218 32.12216 0.13571
1.25711 0.18007 43.47829 0.13574
1.25879 0.06541 9.07125 0.13578
1.26047 0.15067 34.63841 0.13581
1.26216 0.07160 10.90704 0.13585
1.26387 0.13854 30.97780 0.13588
1.26557 0.17221 41.06962 0.13592
1.26729 0.19566 48.09482 0.13595
1.26902 0.11226 23.06412 0.13599
1.27075 0.19709 48.50371 0.13602
1.27250 0.10160 19.84439 0.13606
1.27425 0.10169 19.86142 0.13610
1.27601 0.16973 40.26258 0.13613
1.27778 0.11633 24.23084 0.13617
1.27956 0.15511 35.85713 0.13621
1.28134 0.13934 31.11542 0.13624
1.28314 0.11575 24.02515 0.13628
1.28495 0.11131 22.68424 0.13632
1.28676 0.13432 29.57502 0.13636
1.28858 0.13585 30.02202 0.13639
1.29042 0.13068 28.46241 0.13643
1.29226 0.18257 44.01866 0.13647
1.29411 0.06869 9.84141 0.13651
1.29597 0.08743 15.45398 0.13655
1.29784 0.13527 29.79322 0.13658
1.29971 0.13518 29.75456 0.13662
1.30160 0.08557 14.86204 0.13666
1.30350 0.14054 31.33985 0.13670
1.30541 0.12577 26.89930 0.13674
1.30732 0.11996 25.14408 0.13678
1.30925 0.17068 40.34867 0.13682
1.31119 0.14564 32.82524 0.13686
1.31313 0.16098 37.41533 0.13690
1.31509 0.08037 13.22081 0.13694
1.31705 0.15702 36.20490 0.13698
1.31903 0.12928 27.87113 0.13702
1.32101 0.16322 38.04139 0.13706
1.32301 0.13485 29.51746 0.13710
1.32501 0.17130 40.44022 0.13715
1.32703 0.13673 30.05580 0.13719
1.32905 0.15345 35.06203 0.13723
1.33109 0.06972 9.92882 0.13727
1.33314 0.19660 47.98159 0.13731
1.33519 0.14310 31.91951 0.13736
1.33726 0.10381 20.11988 0.13740
1.33934 0.13877 30.59361 0.13744
1.34142 0.17217 40.60385 0.13748
1.34352 0.10556 20.60771 0.13753
1.34563 0.13825 30.40236 0.13757
1.34775 0.09638 17.82675 0.13762
1.34988 0.18381 44.04237 0.13766
1.35203 0.14132 31.28287 0.13770
1.35418 0.11059 22.05084 0.13775
1.35634 0.16946 39.70101 0.13779
1.35852 0.21118 52.20231 0.13784
1.36070 0.11426 23.11315 0.13788
1.36290 0.13492 29.29803 0.13793
