# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.12933 29.41263 0.13056
1.06486 0.15059 35.78792 0.13058
1.06554 0.14070 32.81594 0.13059
1.06622 0.12965 29.49616 0.13060
1.06691 0.13003 29.60857 0.13062
1.06761 0.12578 28.32785 0.13063
1.06831 0.13726 31.76963 0.13065
1.06901 0.11532 25.18279 0.13066
1.06972 0.11871 26.19551 0.13068
1.07043 0.11947 26.41693 0.13069
1.07114 0.12976 29.50180 0.13070
1.07186 0.11746 25.80623 0.13072
1.07259 0.14127 32.94483 0.13073
1.07332 0.15438 36.87525 0.13075
1.07405 0.13118 29.90865 0.13076
1.07479 0.13237 30.26241 0.13078
1.07553 0.11729 25.73525 0.13079
1.07627 0.11539 25.16003 0.13081
1.07702 0.13194 30.12130 0.13082
1.07778 0.13280 30.37343 0.13084
1.07853 0.13172 30.04552 0.13086
1.07930 0.13175 30.04924 0.13087
1.08006 0.14007 32.54161 0.13089
1.08084 0.14270 33.32488 0.13090
1.08161 0.14860 35.08965 0.13092
1.08239 0.11747 25.74638 0.13093
1.08318 0.12611 28.33431 0.13095
1.08397 0.13567 31.19728 0.13097
1.08476 0.14243 33.22036 0.13098
1.08556 0.16188 39.05168 0.13100
1.08636 0.13661 31.46613 0.13102
1.08717 0.13437 30.78908 0.13103
1.08798 0.12996 29.45962 0.13105
1.08880 0.13592 31.24409 0.13107
1.08962 0.11220 24.12139 0.13108
1.09044 0.14884 35.11020 0.13110
1.09127 0.13995 32.43687 0.13112
1.09211 0.13721 31.60923 0.13113
1.09294 0.14359 33.51984 0.13115
1.09379 0.13904 32.15014 0.13117
1.09464 0.13657 31.40382 0.13119
1.09549 0.13941 32.25020 0.13120
1.09635 0.11935 26.22707 0.13122
1.09721 0.12509 27.94302 0.13124
1.09808 0.12533 28.01013 0.13126
1.09895 0.13224 30.07944 0.13127
1.09982 0.13391 30.57468 0.13129
1.10071 0.12258 27.16982 0.13131
1.10159 0.14241 33.11463 0.13133
1.10248 0.13628 31.27038 0.13135
1.10338 0.13340 30.39870 0.13136
1.10428 0.14146 32.81263 0.13138
1.10518 0.13181 29.91269 0.13140
1.10609 0.14502 33.87005 0.13142
1.10701 0.14368 33.46251 0.13144
1.10793 0.13783 31.70054 0.13146
1.10885 0.12995 29.33220 0.13148
1.10978 0.13096 29.62847 0.13150
1.11072 0.13674 31.35870 0.13151
