# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.13478 31.04897 0.13212
1.06486 0.13145 30.04689 0.13213
1.06554 0.13368 30.71127 0.13214
1.06622 0.13056 29.76943 0.13216
1.06691 0.12634 28.50021 0.13217
1.06761 0.13405 30.81068 0.13218
1.06831 0.13176 30.11793 0.13220
1.06901 0.13287 30.44813 0.13221
1.06972 0.13272 30.39908 0.13222
1.07043 0.13776 31.90676 0.13224
1.07114 0.12936 29.38169 0.13225
1.07186 0.13060 29.74826 0.13226
1.07259 0.12473 27.98342 0.13228
1.07332 0.12104 26.87126 0.13229
1.07405 0.13400 30.75425 0.13230
1.07479 0.13299 30.44776 0.13232
1.07553 0.13513 31.08650 0.13233
1.07627 0.13103 29.85032 0.13235
1.07702 0.13221 30.19959 0.13236
1.07778 0.13243 30.26361 0.13237
1.07853 0.12955 29.39341 0.13239
1.07930 0.13176 30.05271 0.13240
1.08006 0.13064 29.71278 0.13242
1.08084 0.13242 30.24062 0.13243
1.08161 0.12996 29.49971 0.13245
1.08239 0.12930 29.29692 0.13246
1.08318 0.13324 30.47160 0.13248
1.08397 0.13344 30.52863 0.13249
1.08476 0.13254 30.25482 0.13251
1.08556 0.13034 29.58751 0.13252
1.08636 0.12962 29.36670 0.13254
1.08717 0.12681 28.52097 0.13255
1.08798 0.13008 29.49638 0.13257
1.08880 0.13664 31.45843 0.13258
1.08962 0.13049 29.61000 0.13260
1.09044 0.12919 29.21469 0.13261
1.09127 0.13341 30.47662 0.13263
1.09211 0.13426 30.72516 0.13264
1.09294 0.13447 30.78455 0.13266
1.09379 0.12936 29.24633 0.13268
1.09464 0.13137 29.84261 0.13269
1.09549 0.13908 32.14991 0.13271
1.09635 0.13613 31.26011 0.13273
1.09721 0.13573 31.13717 0.13274
1.09808 0.13330 30.40214 0.13276
1.09895 0.13380 30.54490 0.13277
1.09982 0.12857 28.97328 0.13279
1.10071 0.13582 31.14103 0.13281
1.10159 0.13040 29.51107 0.13282
1.10248 0.13130 29.77601 0.13284
1.10338 0.13023 29.44735 0.13286
1.10428 0.13175 29.89809 0.13287
1.10518 0.13048 29.51415 0.13289
1.10609 0.13108 29.68721 0.13291
1.10701 0.13062 29.54373 0.13293
1.10793 0.13103 29.66250 0.13294
1.10885 0.12901 29.05022 0.13296
1.10978 0.12885 28.99567 0.13298
1.11072 0.12958 29.20957 0.13300
1.11166 0.13383 30.47785 0.13301
1.11260 0.12739 28.53999 0.13303
1.11355 0.13300 30.21938 0.13305
1.11451 0.13345 30.34909 0.13307
1.11547 0.13284 30.16004 0.13309
1.11643 0.13497 30.79368 0.13310
1.11740 0.12681 28.33903 0.13312
1.11838 0.13540 30.91041 0.13314
1.11936 0.12870 28.89428 0.13316
1.12034 0.13709 31.40636 0.13318
1.12133 0.13605 31.08587 0.13320
1.12233 0.13265 30.06115 0.13322
1.12333 0.13195 29.84473 0.13323
1.12433 0.13471 30.66745 0.13325
1.12534 0.13057 29.42021 0.13327
1.12636 0.13218 29.89550 0.13329
1.12738 0.13010 29.26431 0.13331
1.12841 0.13658 31.20423 0.13333
1.12944 0.13017 29.27382 0.13335
1.13048 0.13253 29.97521 0.13337
1.13152 0.13429 30.49776 0.13339
1.13257 0.13015 29.24997 0.13341
1.13362 0.13071 29.40991 0.13343
1.13468 0.13253 29.95024 0.13345
1.13575 0.13360 30.26425 0.13347
1.13682 0.12959 29.05757 0.13349
1.13789 0.13865 31.76668 0.13351
1.13897 0.13511 30.69792 0.13353
1.14006 0.13124 29.53020 0.13355
1.14115 0.13112 29.48776 0.13357
1.14225 0.13347 30.18811 0.13359
1.14335 0.13001 29.14341 0.13361
1.14446 0.13407 30.35451 0.13363
1.14558 0.13190 29.69676 0.13366
1.14670 0.13424 30.39304 0.13368
1.14782 0.13087 29.37325 0.13370
1.14896 0.13813 31.54466 0.13372
1.15009 0.12827 28.58015 0.13374
1.15124 0.13567 30.79371 0.13376
1.15239 0.13027 29.16639 0.13378
1.15354 0.13529 30.66634 0.13381
1.15470 0.12902 28.77646 0.13383
1.15587 0.13694 31.14795 0.13385
1.15704 0.13364 30.14925 0.13387
1.15822 0.12884 28.70174 0.13389
1.15940 0.13400 30.24324 0.13392
1.16059 0.13703 31.14535 0.13394
1.16179 0.13389 30.19745 0.13396
1.16299 0.12850 28.57130 0.13398
1.16420 0.13701 31.11845 0.13401
1.16541 0.13504 30.52100 0.13403
1.16663 0.13427 30.28123 0.13405
1.16786 0.13561 30.67713 0.13408
1.16909 0.12933 28.78340 0.13410
1.17033 0.12765 28.27415 0.13412
1.17158 0.13113 29.30889 0.13415
1.17283 0.13780 31.30219 0.13417
1.17409 0.12951 28.80865 0.13419
1.17535 0.13641 30.87182 0.13422
1.17662 0.13547 30.58255 0.13424
1.17790 0.13284 29.78600 0.13427
1.17918 0.13884 31.57785 0.13429
1.18047 0.13015 28.96339 0.13431
1.18176 0.12760 28.18845 0.13434
1.18307 0.13591 30.67410 0.13436
1.18437 0.13152 29.35008 0.13439
1.18569 0.12941 28.70980 0.13441
1.18701 0.13026 28.95474 0.13444
1.18834 0.13116 29.21753 0.13446
1.18967 0.13356 29.93108 0.13449
1.19102 0.13350 29.90325 0.13451
1.19236 0.13089 29.11258 0.13454
1.19372 0.13527 30.41810 0.13457
1.19508 0.13609 30.65529 0.13459
1.19645 0.13427 30.10287 0.13462
1.19782 0.13267 29.61496 0.13464
1.19920 0.14007 31.82505 0.13467
1.20059 0.13557 30.46805 0.13469
1.20199 0.13360 29.86661 0.13472
1.20339 0.13443 30.10979 0.13475
1.20480 0.13405 29.98508 0.13477
1.20622 0.13595 30.54730 0.13480
1.20764 0.13622 30.62160 0.13483
1.20907 0.13370 29.85495 0.13486
