# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.12989 29.58141 0.13093
1.06486 0.12281 27.45301 0.13094
1.06554 0.12878 29.24150 0.13096
1.06622 0.13506 31.12095 0.13097
1.06691 0.12996 29.58532 0.13099
1.06761 0.12801 28.99665 0.13100
1.06831 0.13054 29.75071 0.13101
1.06901 0.12487 28.04831 0.13103
1.06972 0.12842 29.10710 0.13104
1.07043 0.12906 29.29550 0.13106
1.07114 0.12337 27.58436 0.13107
1.07186 0.13138 29.98394 0.13109
1.07259 0.13940 32.38316 0.13110
1.07332 0.12595 28.34388 0.13111
1.07405 0.12706 28.67366 0.13113
1.07479 0.14079 32.78936 0.13114
1.07553 0.13031 29.64112 0.13116
1.07627 0.12807 28.96445 0.13117
1.07702 0.12411 27.77233 0.13119
1.07778 0.13379 30.66937 0.13120
1.07853 0.12807 28.94956 0.13122
1.07930 0.13672 31.53884 0.13123
1.08006 0.13290 30.39018 0.13125
1.08084 0.13513 31.05441 0.13127
1.08161 0.12105 26.82475 0.13128
1.08239 0.14010 32.53632 0.13130
1.08318 0.13700 31.60152 0.13131
1.08397 0.12300 27.39681 0.13133
1.08476 0.13785 31.84502 0.13134
1.08556 0.12818 28.93997 0.13136
1.08636 0.12767 28.78334 0.13138
1.08717 0.13375 30.60237 0.13139
1.08798 0.12694 28.55454 0.13141
1.08880 0.13305 30.38176 0.13143
1.08962 0.12530 28.05159 0.13144
1.09044 0.12862 29.04269 0.13146
1.09127 0.12808 28.87717 0.13147
1.09211 0.12785 28.80368 0.13149
1.09294 0.11961 26.32625 0.13151
1.09379 0.12688 28.50203 0.13153
1.09464 0.12306 27.34918 0.13154
1.09549 0.13415 30.67096 0.13156
1.09635 0.13488 30.88474 0.13158
1.09721 0.13439 30.73478 0.13159
1.09808 0.12406 27.63023 0.13161
1.09895 0.13862 31.99172 0.13163
1.09982 0.12786 28.75961 0.13165
1.10071 0.14370 33.50657 0.13166
1.10159 0.12999 29.38614 0.13168
1.10248 0.13467 30.78585 0.13170
1.10338 0.13566 31.07921 0.13172
1.10428 0.12113 26.71296 0.13174
1.10518 0.13406 30.58747 0.13175
1.10609 0.12646 28.30006 0.13177
1.10701 0.12585 28.11417 0.13179
1.10793 0.11835 25.85823 0.13181
1.10885 0.13834 31.84909 0.13183
1.10978 0.12001 26.34420 0.13185
1.11072 0.13194 29.91734 0.13187
1.11166 0.12363 27.41933 0.13188
1.11260 0.13949 32.16990 0.13190
1.11355 0.12739 28.53443 0.13192
1.11451 0.14109 32.64047 0.13194
1.11547 0.11391 24.47966 0.13196
1.11643 0.13284 30.15344 0.13198
1.11740 0.13503 30.80472 0.13200
1.11838 0.13087 29.55036 0.13202
1.11936 0.13151 29.73732 0.13204
1.12034 0.13510 30.80875 0.13206
1.12133 0.13105 29.58696 0.13208
1.12233 0.13306 30.18371 0.13210
1.12333 0.12999 29.25729 0.13212
1.12433 0.14006 32.27163 0.13214
1.12534 0.13619 31.10476 0.13216
1.12636 0.13601 31.04561 0.13218
1.12738 0.14143 32.66575 0.13220
1.12841 0.11735 25.43573 0.13222
1.12944 0.12412 27.45893 0.13224
1.13048 0.13116 29.56637 0.13226
1.13152 0.12449 27.55692 0.13228
1.13257 0.13101 29.50872 0.13230
1.13362 0.14593 33.97760 0.13233
1.13468 0.13509 30.72015 0.13235
1.13575 0.13388 30.35021 0.13237
1.13682 0.13222 29.84364 0.13239
1.13789 0.12624 28.04586 0.13241
1.13897 0.13199 29.76249 0.13243
1.14006 0.14262 32.94634 0.13245
1.14115 0.14248 32.89738 0.13248
1.14225 0.13261 29.92858 0.13250
1.14335 0.13084 29.39150 0.13252
1.14446 0.14119 32.49161 0.13254
1.14558 0.13209 29.75441 0.13257
1.14670 0.13242 29.84563 0.13259
1.14782 0.12364 27.20424 0.13261
1.14896 0.13440 30.42486 0.13263
1.15009 0.13053 29.25739 0.13266
1.15124 0.13390 30.26289 0.13268
1.15239 0.13597 30.87540 0.13270
1.15354 0.13079 29.31601 0.13273
1.15470 0.14209 32.69854 0.13275
1.15587 0.11415 24.31112 0.13277
1.15704 0.13443 30.38790 0.13280
1.15822 0.13599 30.84684 0.13282
1.15940 0.12355 27.10824 0.13284
1.16059 0.13490 30.50670 0.13287
1.16179 0.13949 31.87654 0.13289
1.16299 0.13575 30.74837 0.13292
1.16420 0.12125 26.39015 0.13294
1.16541 0.13167 29.50709 0.13296
1.16663 0.13751 31.25183 0.13299
1.16786 0.12883 28.64090 0.13301
1.16909 0.14200 32.58501 0.13304
1.17033 0.13400 30.17769 0.13306
1.17158 0.12772 28.28598 0.13309
1.17283 0.12696 28.04988 0.13311
1.17409 0.13616 30.80381 0.13314
1.17535 0.13245 29.68162 0.13316
1.17662 0.13729 31.12617 0.13319
1.17790 0.13986 31.89003 0.13321
1.17918 0.13649 30.87106 0.13324
1.18047 0.12677 27.94880 0.13327
1.18176 0.12856 28.47729 0.13329
1.18307 0.12867 28.50312 0.13332
1.18437 0.13060 29.07283 0.13334
1.18569 0.13178 29.41897 0.13337
1.18701 0.14434 33.17944 0.13340
1.18834 0.13105 29.18382 0.13342
1.18967 0.13245 29.59762 0.13345
1.19102 0.13110 29.18268 0.13348
1.19236 0.12972 28.76046 0.13351
1.19372 0.12396 27.02528 0.13353
1.19508 0.13013 28.86838 0.13356
1.19645 0.13888 31.48535 0.13359
1.19782 0.14038 31.92559 0.13361
1.19920 0.12907 28.52473 0.13364
1.20059 0.12504 27.30771 0.13367
1.20199 0.12540 27.40666 0.13370
1.20339 0.13560 30.46108 0.13373
1.20480 0.13051 28.92460 0.13376
1.20622 0.14112 32.09901 0.13378
1.20764 0.13461 30.13830 0.13381
1.20907 0.13442 30.07022 0.13384
1.21051 0.13519 30.29438 0.13387
1.21195 0.15084 34.98122 0.13390
1.21341 0.13487 30.18149 0.13393
1.21487 0.12220 26.36935 0.13396
1.21633 0.12777 28.03246 0.13399
1.21781 0.13188 29.25767 0.13402
1.21929 0.13426 29.96322 0.13405
1.22077 0.12370 26.78569 0.13408
1.22227 0.13765 30.96137 0.13411
1.22377 0.13284 29.50789 0.13414
1.22528 0.12576 27.37684 0.13417
