# sec(z), Tsys/Tatm, Tr, fit
1.23295 0.15398 35.79536 0.13234
1.23450 0.10585 21.34921 0.13238
1.23607 0.12548 27.22829 0.13241
1.23764 0.18838 46.08948 0.13245
1.23922 0.12938 28.37945 0.13248
1.24081 0.11999 25.55363 0.13252
1.24240 0.12443 26.87514 0.13255
1.24400 0.13748 30.78043 0.13259
1.24561 0.15920 37.28645 0.13262
1.24723 0.14801 33.92059 0.13266
1.24886 0.09158 16.98208 0.13269
1.25049 0.15656 36.46493 0.13273
1.25214 0.18737 45.69879 0.13276
1.25379 0.15372 35.59464 0.13280
1.25545 0.16169 37.97397 0.13283
1.25711 0.13679 30.49443 0.13287
1.25879 0.14515 32.99179 0.13291
1.26047 0.07810 12.86581 0.13294
1.26216 0.14653 33.38517 0.13298
1.26387 0.09866 19.01375 0.13302
1.26557 0.09915 19.15201 0.13305
1.26729 0.11951 25.25042 0.13309
1.26902 0.12374 26.50857 0.13313
1.27075 0.08589 15.14288 0.13317
1.27250 0.12374 26.48602 0.13321
1.27425 0.11298 23.24793 0.13324
1.27601 0.16712 39.47868 0.13328
1.27778 0.10704 21.44446 0.13332
1.27956 0.12034 25.42437 0.13336
1.28134 0.10825 21.78732 0.13340
1.28314 0.12058 25.47564 0.13344
1.28495 0.09349 17.33825 0.13348
1.28676 0.14112 31.61676 0.13352
1.28858 0.14693 33.34638 0.13356
1.29042 0.12971 28.17071 0.13360
1.29226 0.20168 49.75049 0.13364
1.29411 0.12593 27.01346 0.13368
1.29597 0.16536 38.83181 0.13372
1.29784 0.07974 13.13474 0.13376
1.29971 0.12665 27.19599 0.13380
1.30160 0.10380 20.32925 0.13384
1.30350 0.12109 25.50667 0.13388
1.30541 0.14342 32.19427 0.13392
1.30732 0.11533 23.75415 0.13396
1.30925 0.12200 25.74324 0.13401
1.31119 0.10400 20.33175 0.13405
1.31313 0.15763 36.40928 0.13409
1.31509 0.01156 -7.42222 0.13413
1.31705 0.08717 15.24732 0.13418
1.31903 0.21703 54.19602 0.13422
1.32101 0.13704 30.18707 0.13426
1.32301 0.18365 44.15824 0.13431
1.32501 0.12521 26.61185 0.13435
1.32703 0.09091 16.31011 0.13439
1.32905 0.20389 50.19328 0.13444
1.33109 0.18062 43.20007 0.13448
1.33314 0.16752 39.25839 0.13453
1.33519 0.13628 29.87371 0.13457
1.33726 0.11357 23.04724 0.13462
1.33934 0.17482 41.40970 0.13466
1.34142 0.07619 11.80768 0.13471
1.34352 0.17327 40.91855 0.13475
1.34563 0.17703 42.03543 0.13480
