# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.13618 31.46812 0.13227
1.06486 0.14659 34.58811 0.13229
1.06554 0.17732 43.80253 0.13230
1.06622 0.09273 18.42245 0.13231
1.06691 0.08566 16.29636 0.13233
1.06761 0.11071 23.80718 0.13234
1.06831 0.10737 22.80072 0.13235
1.06901 0.08379 15.72385 0.13237
1.06972 0.09704 19.69292 0.13238
1.07043 0.11754 25.83894 0.13240
1.07114 0.13939 32.38974 0.13241
1.07186 0.13797 31.95843 0.13243
1.07259 0.13293 30.44211 0.13244
1.07332 0.14044 32.69166 0.13245
1.07405 0.13695 31.64090 0.13247
1.07479 0.15993 38.53012 0.13248
1.07553 0.11801 25.94939 0.13250
1.07627 0.15428 36.82671 0.13251
1.07702 0.14225 33.21389 0.13253
1.07778 0.12751 28.78609 0.13254
1.07853 0.14173 33.04800 0.13256
1.07930 0.13017 29.57609 0.13257
1.08006 0.09310 18.44955 0.13259
1.08084 0.12865 29.11011 0.13260
1.08161 0.09958 20.38457 0.13262
1.08239 0.14514 34.04713 0.13264
1.08318 0.17176 42.02894 0.13265
1.08397 0.12668 28.50123 0.13267
1.08476 0.13241 30.21344 0.13268
1.08556 0.12915 29.23178 0.13270
1.08636 0.11976 26.40958 0.13271
1.08717 0.11337 24.48826 0.13273
1.08798 0.11324 24.44496 0.13275
1.08880 0.13042 29.59204 0.13276
1.08962 0.16758 40.73733 0.13278
1.09044 0.09483 18.90684 0.13280
1.09127 0.09116 17.80094 0.13281
1.09211 0.13383 30.59622 0.13283
1.09294 0.18401 45.64489 0.13285
1.09379 0.14067 32.63952 0.13286
1.09464 0.13600 31.23307 0.13288
1.09549 0.09735 19.63264 0.13290
1.09635 0.18073 44.63969 0.13291
1.09721 0.07648 13.35967 0.13293
1.09808 0.12123 26.78176 0.13295
1.09895 0.16769 40.71360 0.13297
1.09982 0.14467 33.80108 0.13298
1.10071 0.15045 35.53044 0.13300
1.10159 0.15289 36.25617 0.13302
1.10248 0.15112 35.72105 0.13304
1.10338 0.18079 44.61691 0.13305
1.10428 0.17454 42.73514 0.13307
1.10518 0.13561 31.05115 0.13309
1.10609 0.16335 39.36777 0.13311
1.10701 0.13342 30.38323 0.13313
1.10793 0.18884 47.00492 0.13314
1.10885 0.11370 24.45759 0.13316
1.10978 0.09750 19.59256 0.13318
1.11072 0.11314 24.27872 0.13320
1.11166 0.10663 22.31782 0.13322
1.11260 0.14113 32.66397 0.13324
1.11355 0.09890 19.98786 0.13326
1.11451 0.14201 32.91464 0.13328
1.11547 0.10232 21.00444 0.13329
1.11643 0.12226 26.97917 0.13331
1.11740 0.12521 27.85954 0.13333
1.11838 0.12906 29.00742 0.13335
1.11936 0.11962 26.17133 0.13337
1.12034 0.13575 31.00293 0.13339
1.12133 0.07320 12.23147 0.13341
1.12233 0.15695 37.35227 0.13343
1.12333 0.15736 37.46737 0.13345
1.12433 0.11246 23.99209 0.13347
