# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.12353 27.67464 0.13187
1.06486 0.11209 24.23852 0.13188
1.06554 0.14057 32.77787 0.13190
1.06622 0.11650 25.55307 0.13191
1.06691 0.17880 44.23784 0.13192
1.06761 0.12025 26.66925 0.13194
1.06831 0.11112 23.92641 0.13195
1.06901 0.11870 26.19484 0.13196
1.06972 0.12801 28.98398 0.13198
1.07043 0.15083 35.82729 0.13199
1.07114 0.14733 34.77177 0.13201
1.07186 0.13655 31.53329 0.13202
1.07259 0.13130 29.95516 0.13203
1.07332 0.11401 24.76405 0.13205
1.07405 0.12103 26.86567 0.13206
1.07479 0.15269 36.35919 0.13208
1.07553 0.14676 34.57569 0.13209
1.07627 0.12522 28.10918 0.13211
1.07702 0.13607 31.35916 0.13212
1.07778 0.13195 30.11753 0.13214
1.07853 0.13789 31.89693 0.13215
1.07930 0.08472 15.93961 0.13217
1.08006 0.10599 22.31514 0.13218
1.08084 0.14227 33.19525 0.13220
1.08161 0.12267 27.31039 0.13221
1.08239 0.13871 32.11788 0.13223
1.08318 0.16664 40.49228 0.13224
1.08397 0.15781 37.83991 0.13226
1.08476 0.16147 38.93367 0.13227
1.08556 0.12562 28.17123 0.13229
1.08636 0.13233 30.18184 0.13230
1.08717 0.14557 34.14948 0.13232
1.08798 0.14351 33.52427 0.13234
1.08880 0.09966 20.36614 0.13235
1.08962 0.16452 39.81868 0.13237
1.09044 0.15673 37.47615 0.13238
1.09127 0.13855 32.01787 0.13240
1.09211 0.14857 35.01769 0.13242
1.09294 0.12767 28.74460 0.13243
1.09379 0.14140 32.85758 0.13245
1.09464 0.14936 35.24161 0.13247
1.09549 0.12696 28.51634 0.13248
1.09635 0.12166 26.92057 0.13250
1.09721 0.12655 28.38242 0.13252
1.09808 0.12931 29.20367 0.13253
1.09895 0.13117 29.75638 0.13255
1.09982 0.14207 33.02170 0.13257
1.10071 0.13599 31.19282 0.13259
1.10159 0.09611 19.22286 0.13260
